NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	Details ...	36	-0.53523177	-1.7602321	0.0011037528	0.11166505	0.161	53	tags=39%, list=11%, signal=40%	
REACTOME_KERATINIZATION	REACTOME_KERATINIZATION	Details ...	36	-0.53523177	-1.7547066	0.0021762785	0.058745544	0.169	53	tags=39%, list=11%, signal=40%	
REACTOME_DEVELOPMENTAL_BIOLOGY	REACTOME_DEVELOPMENTAL_BIOLOGY	Details ...	58	-0.48979014	-1.7083482	0.0	0.06696622	0.276	127	tags=47%, list=27%, signal=56%	
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	Details ...	19	-0.5195882	-1.4929096	0.03073286	0.40065402	0.922	103	tags=37%, list=22%, signal=45%	
REACTOME_ECM_PROTEOGLYCANS	REACTOME_ECM_PROTEOGLYCANS	Details ...	14	-0.5419252	-1.472868	0.051660515	0.37354735	0.949	110	tags=43%, list=24%, signal=54%	
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	Details ...	43	-0.42014387	-1.4303646	0.05907173	0.4211818	0.978	120	tags=37%, list=26%, signal=45%	
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	Details ...	18	-0.4379453	-1.2391396	0.22261073	1.0	1.0	91	tags=33%, list=20%, signal=40%	
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	Details ...	66	-0.33895773	-1.2314863	0.17323652	0.9781173	1.0	121	tags=35%, list=26%, signal=40%	
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	Details ...	40	-0.349858	-1.1803257	0.23783784	1.0	1.0	106	tags=33%, list=23%, signal=38%	
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	Details ...	16	-0.41814303	-1.1514032	0.31287605	1.0	1.0	98	tags=31%, list=21%, signal=38%	
REACTOME_CELL_CELL_COMMUNICATION	REACTOME_CELL_CELL_COMMUNICATION	Details ...	13	-0.42950258	-1.133233	0.32858992	1.0	1.0	123	tags=38%, list=26%, signal=51%	
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	Details ...	11	-0.41142273	-1.0408585	0.43243244	1.0	1.0	110	tags=36%, list=24%, signal=46%	
REACTOME_CELL_JUNCTION_ORGANIZATION	REACTOME_CELL_JUNCTION_ORGANIZATION	Details ...	11	-0.39933473	-1.0124092	0.46096656	1.0	1.0	123	tags=36%, list=26%, signal=48%	
REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION	REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION	Details ...	11	-0.37437832	-0.94905925	0.5412844	1.0	1.0	116	tags=45%, list=25%, signal=59%	
REACTOME_SENSORY_PERCEPTION	REACTOME_SENSORY_PERCEPTION	Details ...	16	-0.3368082	-0.94542307	0.5584256	1.0	1.0	14	tags=13%, list=3%, signal=12%	
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM	REACTOME_GLYCOSAMINOGLYCAN_METABOLISM	Details ...	15	-0.33207503	-0.92633504	0.5799031	1.0	1.0	7	tags=7%, list=2%, signal=7%	
REACTOME_PROGRAMMED_CELL_DEATH	REACTOME_PROGRAMMED_CELL_DEATH	Details ...	11	-0.3588547	-0.9218241	0.57468355	1.0	1.0	42	tags=18%, list=9%, signal=20%	
REACTOME_AMYLOID_FIBER_FORMATION	REACTOME_AMYLOID_FIBER_FORMATION	Details ...	15	-0.32828116	-0.91147053	0.59018403	1.0	1.0	59	tags=20%, list=13%, signal=22%	
REACTOME_DISEASES_OF_GLYCOSYLATION	REACTOME_DISEASES_OF_GLYCOSYLATION	Details ...	16	-0.32166716	-0.8960689	0.59409595	1.0	1.0	116	tags=25%, list=25%, signal=32%	
