NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_DEVELOPMENTAL_BIOLOGY	REACTOME_DEVELOPMENTAL_BIOLOGY	Details ...	58	-0.48979014	-1.5302523	0.12429378	1.0	0.512	127	tags=47%, list=27%, signal=56%	
REACTOME_ECM_PROTEOGLYCANS	REACTOME_ECM_PROTEOGLYCANS	Details ...	14	-0.5419252	-1.4388256	0.06949807	1.0	0.648	110	tags=43%, list=24%, signal=54%	
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	Details ...	43	-0.42014387	-1.4266665	0.12401575	1.0	0.659	120	tags=37%, list=26%, signal=45%	
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	Details ...	19	-0.5195882	-1.4104713	0.12676056	0.8257621	0.684	103	tags=37%, list=22%, signal=45%	
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	Details ...	66	-0.33895773	-1.3269405	0.08928572	0.98577654	0.757	121	tags=35%, list=26%, signal=40%	
REACTOME_KERATINIZATION	REACTOME_KERATINIZATION	Details ...	36	-0.53523177	-1.3063422	0.243762	0.90028906	0.775	53	tags=39%, list=11%, signal=40%	
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	Details ...	36	-0.53523177	-1.3063422	0.243762	0.7716763	0.775	53	tags=39%, list=11%, signal=40%	
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	Details ...	18	-0.4379453	-1.2535906	0.25096524	0.8365635	0.812	91	tags=33%, list=20%, signal=40%	
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	Details ...	16	-0.41814303	-1.2480072	0.20183486	0.75982416	0.817	98	tags=31%, list=21%, signal=38%	
REACTOME_CELL_CELL_COMMUNICATION	REACTOME_CELL_CELL_COMMUNICATION	Details ...	13	-0.42950258	-1.2147999	0.22008547	0.7768238	0.839	123	tags=38%, list=26%, signal=51%	
