NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	32	-0.5425357	-1.7469103	0.0011173184	0.054630656	0.056	123	tags=50%, list=26%, signal=63%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	10	-0.61260325	-1.5180329	0.04255319	0.27147466	0.44	104	tags=60%, list=22%, signal=76%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	11	-0.5840476	-1.4585245	0.0655308	0.28739578	0.609	116	tags=55%, list=25%, signal=71%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	14	-0.5012948	-1.3531	0.1125	0.42225492	0.848	41	tags=21%, list=9%, signal=23%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	11	-0.51194364	-1.2872001	0.15091863	0.49067178	0.936	59	tags=36%, list=13%, signal=41%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	20	-0.40624905	-1.1995189	0.25263157	0.60755026	0.988	108	tags=35%, list=23%, signal=44%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	14	-0.41742215	-1.1314558	0.31980908	0.6779023	0.999	53	tags=29%, list=11%, signal=31%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	12	-0.43442294	-1.1153061	0.33114323	0.6276937	0.999	101	tags=33%, list=22%, signal=41%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	17	-0.34917963	-0.98721457	0.49818182	0.8334032	1.0	134	tags=41%, list=29%, signal=56%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	18	-0.32645127	-0.9182066	0.59134614	0.8867385	1.0	217	tags=61%, list=47%, signal=110%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	21	-0.29735127	-0.87699026	0.64678365	0.88081264	1.0	38	tags=10%, list=8%, signal=10%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	19	-0.30025575	-0.86813694	0.6625917	0.819263	1.0	219	tags=68%, list=47%, signal=124%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	10	-0.33302966	-0.81061465	0.722293	0.84143615	1.0	86	tags=30%, list=18%, signal=36%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	19	-0.24010077	-0.6943955	0.8364929	0.91499364	1.0	6	tags=5%, list=1%, signal=5%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	10	-0.23815195	-0.5737619	0.9229798	0.9463703	1.0	82	tags=20%, list=18%, signal=24%	
